Source;Target;Type;Text;Sentiment;RetweetCount;FavouriteCount;UserName;UserLocation;UserLang;UserFollowers;UserFriends
Indie;Folk;Undirected;The Marica Frequency - That Voice Behind (Official Video) https://t.co/ZxJWS0FgEu via @YouTube Haunting From The Welsh #Indie #Folk Outfit;-0.2732;0;0;Chris Evans;Cardiff;en-gb;2852;1992
sheffieldissuper;folk;Undirected;We're in full fiddle swing with @samsweeney123 🎻getting our groove on! #sheffieldissuper #folk #fiddle https://t.co/NiE5OA3RwZ;0.0;2;1;Soundpost;Sheffield, England;en;1129;544
sheffieldissuper;fiddle;Undirected;We're in full fiddle swing with @samsweeney123 🎻getting our groove on! #sheffieldissuper #folk #fiddle https://t.co/NiE5OA3RwZ;0.0;2;1;Soundpost;Sheffield, England;en;1129;544
folk;fiddle;Undirected;We're in full fiddle swing with @samsweeney123 🎻getting our groove on! #sheffieldissuper #folk #fiddle https://t.co/NiE5OA3RwZ;0.0;2;1;Soundpost;Sheffield, England;en;1129;544
glitterball;dublin;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
glitterball;club;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
glitterball;clubbing;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
glitterball;party;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
glitterball;saturdays;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
dublin;club;Undirected;Who's dressing up tonight &amp: going all-out?! @NumberTwenty2_ #glitterball #dublin #club #clubbing #party #saturdays… https://t.co/bULV5Z6ts4;0.0;3;26;GLITTERBALL Dublin;Dublin City, Ireland;en;43;189
