source;target;weight
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;3
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;5
8,53E+17;8,53E+17;5
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;2
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;5
8,53E+17;8,53E+17;4
8,53E+17;8,53E+17;1
8,53E+17;8,53E+17;2
