Source;Target;Type;Weight
854121020097261568;854119908086603777;Undirected;3
854120831009431552;854120575761100800;Undirected;1
854120831009431552;854120393355010049;Undirected;1
854120831009431552;854119323924914176;Undirected;1
854120831009431552;854119081766682624;Undirected;1
854120831009431552;854118621764780032;Undirected;1
854120831009431552;854118233015820288;Undirected;1
854120771391770624;854120303513001984;Undirected;1
854120771391770624;854120037732495362;Undirected;1
854120771391770624;854118689674854404;Undirected;1
854120601316995072;854120465194864640;Undirected;1
854120601316995072;854120104933695488;Undirected;1
854120601316995072;854118593621053444;Undirected;1
854120575761100800;854118621764780032;Undirected;1
854120575761100800;854118233015820288;Undirected;1
854120465194864640;854120104933695488;Undirected;1
854120465194864640;854118593621053444;Undirected;1
854120393355010049;854119323924914176;Undirected;1
854120393355010049;854119081766682624;Undirected;1
854120303513001984;854120037732495362;Undirected;1
854120104933695488;854118593621053444;Undirected;1
854120104375832576;854118447038447617;Undirected;1
854120104375832576;854118389886865408;Undirected;1
854120104375832576;854118333452615687;Undirected;1
854119743183142912;854118333452615687;Undirected;1
854119525826121728;854119081766682624;Undirected;2
854119525826121728;854118621764780032;Undirected;2
854119323924914176;854119081766682624;Undirected;1
854119081766682624;854118621764780032;Undirected;2
854118621764780032;854118233015820288;Undirected;1
854118447038447617;854118389886865408;Undirected;1
854118447038447617;854118333452615687;Undirected;1
854118389886865408;854118333452615687;Undirected;1
