id;text;sentiment;userId;retweetedCount;tags;tagsCount;userName;friendsCount;followersCount
852671244738736128;@HopliteTactical Is it mandatory #mentalhealth evaluations for #Gun owners?  #CdnPoli #Science #Safety;0.0772;77254498;0;[#mentalhealth, #Gun, #CdnPoli, #Science, #Safety];5;?Graham Chivers??;5573;8300
852670589861056512;What if we could upload books to our brains? https://t.co/B2rhoLkDFN #brain #mentalhealth #education #science #psychology #mind;0.0;821150215063408640;0;[#brain, #mentalhealth, #education, #science, #psychology, #mind];6;Supreme Mindfulness;4631;2942
852670826407178244;If you have taken #social #psychology #science, you would know what a WASP is. Unfortunately they hate all #good. #ScienceMarch;-0.7269;54138532;0;[#social, #psychology, #science, #good, #ScienceMarch];5;HI Green Examiner;2825;811
852669055894867969;#10: pH Test Strips 0-14, Universal Strips To Test Water Quality For Swimming Pools, Hot Tub… https://t.co/RiUrAugGHR #Science #Education;0.0;802062972235509760;0;[#Science, #Education];2;Education Supplies;0;4
852669054313578496;#9: New Product Didactic Human Skull Model with 7 Cervical Vertebrae/Nerve and Artery/on… https://t.co/ohpyGSdYNA #Science #Education;0.0;802062972235509760;0;[#Science, #Education];2;Education Supplies;0;4
852669053118197760;#8: Crystalline Pyrite, Approximately 1.5-2"" Length, 2-10mm Crystals, Single Piece… https://t.co/16wt3Yhm5Z #Science #Education;0.0;802062972235509760;0;[#Science, #Education];2;Education Supplies;0;4
852670340018958339;.@AutismMedia Vaccines injured my daughter #vaxxed #truth #science #PrayBig https://t.co/6LW6rxCDAQ;-0.4019;776638213;1;[#vaxxed, #truth, #science, #PrayBig];4;Christina Schmidt;1948;2373
852668298168815617;.@AutismMedia Vaccines injured my daughter #vaxxed #truth #science #PrayBig https://t.co/g9ulBqmlBr;-0.4019;718989462978453504;0;[#vaxxed, #truth, #science, #PrayBig];4;CM Schmidt;1029;644
852669779416625153;#Environment #Conservation #Science https://t.co/uAKdzaY6eq Study finds array of contaminants in US waterways. When researchers sampled st…;0.0;1011015176;3;[#Environment, #Conservation, #Science];3;LibraryOfAlexandria;1656;7688
852668607838511104;RT @lizbonnin: I would love nothing more. As long as you enjoy watching we will keep making them! #science #nature #conservation @BBCOne @B…;0.8268;739139247047880705;17;[#science, #nature, #conservation];3;Lee Fergusson;2720;1917
852668012880678912;RT @gringaofbarrio: Is there anything good about climate change? @gringaofbarrio #climate #ecology #environment #gringa #nature #science ht…;0.4404;803172864165900288;27;[#climate, #ecology, #environment, #gringa, #nature, #science];6;FindURTreasures;91;343
852669583911735296;RT @ClimateCorpGeo: Awesome evening last night @MonsantoCo awards ceremony - best #science team in the Ag biz! #digitalag #AI #datascience…;0.9117;244190133;3;[#science, #digitalag, #AI, #datascience];4;Nick Koshnick;115;89
852668366481481728;Woah... @elonmusk's @openai... I'm mentally marking this moment in history. https://t.co/UPtoTEMdKD #gamedev #coding #AI #science #04132017;0.0;710035102;0;[#gamedev, #coding, #AI, #science];4;S. Darkwell;565;177
852668823878684673;RT @AtriumStaffing: ICYMI: Regulatory Affairs Manager Job | New Providence, NJ | $120k | Direct Hire #science #hiring #job https://t.co/pqf…;0.0;79916647;1;[#science, #hiring, #job];3;Shiv sun;1155;644
852667892801957889;ICYMI: Regulatory Affairs Manager Job | New Providence, NJ | $120k | Direct Hire #science #hiring #job https://t.co/pqfoN3bWBV;0.0;58877433;1;[#science, #hiring, #job];3;Atrium Staffing;1003;9051
852668387734040577;Back of a ute in Australia #mycology #fungi #mushrooms #Mushroom #BeatrixPotter #nature #Ambleside #fungus #science… https://t.co/5qrG7nRPJ1;0.0;760950916866449408;0;[#mycology, #fungi, #mushrooms, #Mushroom, #BeatrixPotter, #nature, #Ambleside, #fungus, #science];9;Scarlet Richardson;40;1090
853034929793486851;RT @LoreeGBurns: Hey! Win a copy of my book! #citizenscientists #citizenscience #kidlit #science https://t.co/mwNIsFACJY;0.658;23610124;5;[#citizenscientists, #citizenscience, #kidlit, #science];4;Renee;88;187
853031386080530436;RT @MJ_Mouton: I write for my girls, because girls are scientists too! #science #education #Kidlit 1st #book is Darwin. ages 1-8 https://t.…;0.0;800865679054434304;177;[#science, #education, #Kidlit, #book];4;John L Codella Jr;72;22
853034893076566016;A Jewish girl describes the harmony between #faith and #science. https://t.co/N7aZkIe8bS;0.4019;1739631566;1;[#faith, #science];2;FFAF International;150;255
853034362027245569;Thoughts on #faith and #science from a Jewish perspective. https://t.co/iOFhvcCVSM;0.0;1849559293;0;[#faith, #science];2;GC Science;229;156
853034641586094081;#redorbit: #Science #News, #Space News, #Health News, &amp: More https://t.co/oIhQlBwT1D https://t.co/oiT1qHI8jH;0.0;94578764;0;[#redorbit, #Science, #News, #Space, #Health];5;YuriSL;2052;2053
853033583665188864;#science #ecology #health #nature Women's Leadership Committee's Speech Contest https://t.co/VWR6F7cdsC https://t.co/rHALytpdpN;0.0;735251199994286080;0;[#science, #ecology, #health, #nature];4;Thenatureworld;3463;934
853033070802247680;At the planetarium with my jelly bean. #science #space #daddydaughtertime https://t.co/trzdA3F0IN;0.0;37688271;0;[#science, #space, #daddydaughtertime];3;Kingbigshit;160;119
853031758471757824;Milwaukee WI USA - #Medical #Science Liaison - Great Lakes - Medical Science Liaison Great La... https://t.co/bRXoLEKOlB #WORK #HEALTH #JOB;0.8481;2220271794;0;[#Medical, #Science, #WORK, #HEALTH, #JOB];5;Medical Science Jobs;0;3
853031521141141504;Change physics text book.Einstein is stupid. https://t.co/s1CVc2KP3G #science #news #bbc #cnn #discovery #relativity;-0.5267;92666032;0;[#science, #news, #bbc, #cnn, #discovery, #relativity];6;eddie knk;2615;2512
853031425695678464;NASA confirms two moons in the Solar System are venting oceans into space https://t.co/fZDtORClLI #Space #Science #Nasa #Life;0.0;4871775280;0;[#Space, #Science, #Nasa, #Life];4;Brandon Mckenzie;219;243
853034295543320578;Interesting read about the #diverse worlds of #carbon #forestry https://t.co/mqOBHuY2Fm @ecobusinesscom #community #science #indigenous #GHG;0.4019;244206689;0;[#diverse, #carbon, #forestry, #community, #science, #indigenous, #GHG];7;ecoPartners Carbon;1076;675
853033418556297216;#Science: #Indigenous ppls around world tell of warning signs of nat’l disasters. Scientists are now listening https://t.co/C0av5ZEd6J;-0.7184;57677984;0;[#Science, #Indigenous];2;E_Lucas-Taylor wrtr;8020;8466
853034233824247808;RT @MaryHerman2: #DarkMatter never found is same like #Ether a #Science dream to deny #Modified #Gravity!    #NASA #Astronomy #Universe #CE…;0.3382;718108600179228672;4;[#DarkMatter, #Ether, #Science, #Modified, #Gravity, #NASA, #Astronomy, #Universe];8;Mike;644;219
853033149017845760;RT @AgiwaldW: 8 Space reasons to look up in 2017 #astronomy #science ?Volcanoteide https://t.co/cCOJBjxque https://t.co/BLEulwSJ1E;0.0;3227099081;137;[#astronomy, #science];2;Magdalena;2694;4834
853032088823627776;#NASA Revealed There Could Be Life On #Saturn #Moon, #Enceladus https://t.co/JGiLOvMV4j via @YouTube #SpaceExploration #Astronomy #Science;0.0;1912247989;0;[#NASA, #Saturn, #Moon, #Enceladus, #SpaceExploration, #Astronomy, #Science];7;Devon Murray;114;135
853033657468153861;Here’s the final design for Light’s insane 16-lens camera https://t.co/Il7xnpXPNi #Science #Tech #Culture #Reviews… https://t.co/qaXOj4o6Us;-0.4019;16946467;0;[#Science, #Tech, #Culture, #Reviews];4;?Ofra Ziv?;2014;1846
853031639433261057;RT @ravikikan: #Startups : The Biggest Lies On #Internet   #tech #science #bigdata #mobile #contentmarketing #entrepreneur #social…https://…;-0.4215;1044463664;6;[#Startups, #Internet, #tech, #science, #bigdata, #mobile, #contentmarketing, #entrepreneur, #social];9;Vaibhav Gupta;3640;7605
853032895220416512;RT @AgiwaldW: Ancient peoples shaped the Amazon rainforest #Archaeology #science #ecology ?Gwegner https://t.co/5XTACyRf5E https://t.co/r6p…;0.1779;3570984434;123;[#Archaeology, #science, #ecology];3;????;1474;469
853032827733934080;RT @loribogren: .@IvankaTrump  you should visit a library.  They have a huge selection on #feminism, #civilrights, #Science &amp: dictionaries.…;0.3182;1151933252;1;[#feminism, #civilrights, #Science];3;SusanBr;44;644
